MWBG	Vowel	Duration	f0	F1	F2	F3	F4
m	ae	323	174	663	2012	2659	3691
m	ae	250	102	628	1871	2477	3489
m	ae	344	99	605	1812	2570	NA
m	ae	312	124	627	1910	2488	3463
m	ae	254	115	647	1864	2561	3506
m	ae	254	96	582	1999	2567	3754
m	ae	289	122	602	1880	2539	3584
m	ae	339	120	545	1872	2630	NA
m	ae	282	153	552	2027	2737	3588
m	ae	319	136	629	1871	2574	3657
m	ae	279	100	685	1807	2611	NA
m	ae	272	106	559	1983	2560	3817
m	ae	212	138	544	1819	2511	3266
m	ae	257	135	685	1592	2308	NA
m	ae	264	133	514	2031	2815	3618
m	ae	244	149	612	1937	2605	3646
m	ae	286	140	544	2114	2971	NA
m	ae	252	108	556	1854	2679	3628
m	ae	249	119	619	2023	2716	NA
m	ae	274	112	601	1997	2499	4272
m	ae	270	120	572	2072	2648	3949
m	ae	301	115	546	1820	2548	3930
m	ae	259	120	562	1895	2513	2937
m	ae	257	105	594	2000	2550	3448
m	ae	212	131	662	1934	2649	NA
m	ae	241	114	566	2041	2500	3862
m	ae	302	96	559	1873	2509	3673
m	ae	208	143	579	1982	2639	NA
m	ae	208	149	623	1937	2526	NA
m	ae	328	136	555	1996	2609	3666
m	ae	267	129	555	1849	2502	3511
m	ae	326	110	634	1730	2456	3220
m	ae	270	121	570	1856	2630	3473
m	ae	207	130	614	1768	2393	3372
m	ae	213	131	553	2140	2327	4278
m	ae	311	153	605	2002	2666	3563
m	ae	273	140	597	1989	2677	4252
m	ae	230	139	561	1772	2597	3547
m	ae	334	128	615	1885	2709	3581
m	ae	276	98	577	1952	2588	NA
m	ae	283	187	629	2436	3022	NA
m	ae	292	129	511	1811	2529	3556
m	ae	245	119	590	1830	2512	3997
m	ae	266	123	622	1957	2841	NA
m	ae	289	116	565	2055	2575	3380
w	ae	305	225	678	2293	2861	4412
w	ae	486	214	624	2442	3091	5306
w	ae	293	192	666	2370	2814	3706
w	ae	353	233	743	2230	3055	4476
w	ae	338	223	677	2320	2987	5230
w	ae	362	223	627	2266	2875	4085
w	ae	313	176	690	2327	2771	4089
w	ae	284	238	658	2650	3471	4199
w	ae	253	251	685	2299	2930	4119
w	ae	356	227	621	2249	2873	3978
w	ae	385	188	868	2004	2797	NA
w	ae	355	229	682	2486	3207	4450
w	ae	315	237	668	2252	2790	4181
w	ae	272	214	726	2350	2996	4523
w	ae	400	226	620	2316	2849	4151
w	ae	356	202	634	2596	3255	4605
w	ae	323	212	672	2145	2764	4205
w	ae	363	237	698	2339	3075	4353
w	ae	307	187	586	2299	2748	NA
w	ae	382	217	616	2156	2865	3896
w	ae	338	186	576	2429	3101	4327
w	ae	365	213	674	2256	2818	4355
w	ae	331	248	738	2378	3305	4314
w	ae	461	220	646	2406	3283	4709
w	ae	346	168	746	1944	2927	4355
w	ae	272	246	734	2518	3176	NA
w	ae	260	225	662	2276	2955	4143
w	ae	333	238	696	2447	3122	5024
w	ae	310	238	687	2378	2913	3973
w	ae	364	205	645	2154	3139	4027
w	ae	239	208	626	2374	2836	NA
w	ae	261	235	689	2701	3490	4513
w	ae	277	218	557	2586	3202	NA
w	ae	328	211	668	2296	2711	NA
w	ae	413	200	746	2371	2984	4115
w	ae	405	192	893	2070	3024	5118
w	ae	294	219	665	2408	3034	4290
w	ae	365	192	564	2442	NA	4038
w	ae	301	197	714	2254	2625	NA
w	ae	301	216	625	2594	3146	4003
w	ae	312	222	552	2227	2978	NA
w	ae	353	230	685	2205	2813	NA
w	ae	333	208	657	2192	2654	4122
w	ae	365	156	649	2508	3050	NA
w	ae	327	211	817	2102	2711	4076
w	ae	310	210	626	2331	2826	4005
w	ae	319	209	706	2400	2923	NA
w	ae	357	209	751	2432	2896	4181
b	ae	257	238	630	2423	3166	4495
b	ae	359	286	829	2495	3218	NA
b	ae	335	214	631	2801	3508	NA
b	ae	398	239	712	2608	3247	NA
b	ae	267	200	748	2589	3042	5074
b	ae	323	262	769	2203	3126	4128
b	ae	316	216	870	2281	3077	NA
b	ae	245	220	709	2565	3526	NA
b	ae	396	205	634	2555	3121	4492
b	ae	298	209	630	2509	3112	4573
b	ae	415	252	736	2505	3332	4874
b	ae	281	216	634	2535	3260	4479
b	ae	314	198	697	2418	3371	4322
b	ae	382	272	607	2620	3350	4534
b	ae	367	187	753	2227	3064	NA
b	ae	352	246	726	2231	2932	3843
b	ae	307	249	741	2444	3043	4430
b	ae	312	209	674	2663	3243	NA
b	ae	352	205	769	2234	2910	4034
b	ae	256	229	678	2524	3418	4460
b	ae	346	267	809	2592	3331	NA
b	ae	216	206	545	2690	NA	4362
b	ae	284	223	669	2440	NA	4173
b	ae	451	220	643	2434	3326	NA
b	ae	243	211	634	2410	3303	4666
b	ae	284	227	676	2253	3121	4122
b	ae	291	212	860	2503	3002	4345
g	ae	295	242	741	2433	3341	4110
g	ae	283	196	729	2878	3792	NA
g	ae	385	255	932	2523	3644	NA
g	ae	456	227	682	2638	3510	4372
g	ae	292	222	799	2397	3125	4312
g	ae	341	242	722	2418	3017	NA
g	ae	384	266	695	2704	3731	4633
g	ae	382	265	758	2373	3327	4766
g	ae	311	237	946	2540	3229	NA
g	ae	353	230	648	2334	2834	NA
g	ae	322	240	730	2668	3564	NA
g	ae	301	251	752	2501	NA	NA
g	ae	306	194	717	2313	3150	NA
g	ae	354	226	888	2605	3651	NA
g	ae	308	208	727	2394	3320	4450
g	ae	317	219	591	2632	NA	NA
g	ae	238	248	747	2703	3829	NA
g	ae	290	227	672	2484	3492	NA
g	ae	250	227	555	2569	3424	4677
m	ah	316	159	813	1283	2687	3739
m	ah	249	101	749	1060	2842	3792
m	ah	373	97	755	1133	2695	3297
m	ah	302	127	832	1222	2624	4050
m	ah	230	112	871	1204	2595	3480
m	ah	265	98	786	1341	2403	3717
m	ah	302	115	748	1293	2446	3383
m	ah	330	122	738	1394	2522	NA
m	ah	271	152	763	1147	2840	NA
m	ah	321	148	829	1444	2241	NA
m	ah	256	104	825	1429	2701	3443
m	ah	278	100	737	1298	2323	3320
m	ah	192	145	679	1208	2630	3506
m	ah	243	132	689	1064	2303	NA
m	ah	342	135	702	1364	2498	3421
m	ah	269	148	811	1355	2599	NA
m	ah	272	135	744	1489	2586	NA
m	ah	206	114	758	1363	2421	3520
m	ah	287	115	784	1345	2522	3942
m	ah	278	107	802	1297	2765	4049
m	ah	258	131	803	1234	2430	3862
m	ah	256	116	683	1238	2428	3826
m	ah	271	124	697	1370	2597	NA
m	ah	212	106	743	1423	2494	3682
m	ah	154	173	710	1084	2753	NA
m	ah	220	123	825	1438	2434	3788
m	ah	290	101	673	1301	2433	3886
m	ah	184	160	707	1421	2403	4126
m	ah	216	146	697	1293	2461	NA
m	ah	272	135	816	1361	2493	3846
m	ah	250	115	722	1411	2264	3368
m	ah	269	109	748	1274	2406	3201
m	ah	252	116	744	1388	2541	3321
m	ah	219	127	700	1295	2310	NA
m	ah	192	148	705	1323	2643	3820
m	ah	287	139	963	1524	2552	3494
m	ah	254	126	711	1428	2413	3978
m	ah	213	138	712	1325	2624	3574
